                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20231122"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196                                      197                                      198                                      199                                      200                                      201                                      202                                      203                                      204                                      205                                      206                                      207                                      208                                      209                                      210                                      211                                      212                                      213                                      214                                      215                                      216                                      217                                      218                                      219                                      220                                      221                                      222                                      223                                      224                                      225                                      226                                      227                                      228                                      229 
                            model_number                                 star_age                                star_mass                                star_mdot                                   log_dt                                num_zones               log_total_angular_momentum                           mass_conv_core                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                          mix_relr_type_1                           mix_relr_top_1                          mix_relr_type_2                           mix_relr_top_2                          mix_relr_type_3                           mix_relr_top_3                          mix_relr_type_4                           mix_relr_top_4                          mix_relr_type_5                           mix_relr_top_5                          mix_relr_type_6                           mix_relr_top_6                          mix_relr_type_7                           mix_relr_top_7                          mix_relr_type_8                           mix_relr_top_8                          mix_relr_type_9                           mix_relr_top_9                         mix_relr_type_10                          mix_relr_top_10                         mix_relr_type_11                          mix_relr_top_11                         mix_relr_type_12                          mix_relr_top_12                         mix_relr_type_13                          mix_relr_top_13                         mix_relr_type_14                          mix_relr_top_14                         mix_relr_type_15                          mix_relr_top_15                         mix_relr_type_16                          mix_relr_top_16                         mix_relr_type_17                          mix_relr_top_17                         mix_relr_type_18                          mix_relr_top_18                         mix_relr_type_19                          mix_relr_top_19                         mix_relr_type_20                          mix_relr_top_20                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             he_core_mass                           he_core_radius                              c_core_mass                            c_core_radius                              o_core_mass                            o_core_radius                             si_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Lneu                                 log_Teff                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_mg24                              center_si28                              center_al27                              center_fe56                               surface_h1                              surface_he4                              surface_li7                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                             surface_si28                             surface_al27                             surface_fe56                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    photo                                   v_surf                        v_div_csound_surf                              num_retries                              relax_count                                log_R_098                                log_R_095                                log_R_090                         helium_core_mass                             co_core_mass                                log_R_100                               log_R_vesc                           log_R_vesc_098                           log_R_vesc_095                           log_R_vesc_090                             M_below_vesc                                   u_flag                                 U_ejecta                                 T_ejecta                             Omega_ejecta                           gamma_integral                             max_velocity                             min_velocity                            yr_since_coll                                  total_J                         total_J_bel_vesc 
                                       1                  1.3798436811894158E+001                  3.4999982223180496E+001                 -1.2883212600957925E-006                  1.1398298891243110E+000                                     1233                 -9.8999999999999986E+001                  3.4697204690843826E+001                                        1                  9.9134920896799350E-001                                        0                  9.9999999842861298E-001                                        9                  9.9999999866365963E-001                                        1                  9.9999999986601140E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  7.6604696167507957E-001                                        0                  9.9211227119013856E-001                                        9                  9.9274996874081933E-001                                        1                  9.9819413928592926E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0776212856036616E+034                  5.0839768716425479E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        7                  2.8686177719129291E-002                                        6                  2.2508459042912388E-001                                        5                  4.2447429329190889E-001                                        4                  5.8586666816804578E-001                                        3                  7.0203275242032936E-001                                        2                  7.8598910984827697E-001                                        1                  8.4723150320512230E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.4999982223180496E+001                  5.0511158615793299E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3344327378775143E+000                 -1.3975372815145114E+001                 -9.8999999999999986E+001                  6.3344327378775143E+000                  5.9947115024174398E+000                  4.8981203288902551E+000                  5.9539496546213151E+000                  7.0338733039464407E-001                  4.5753607902819322E+000                  3.7614976106143811E+004                  7.8182976833552100E+000                  9.5174520204356783E-001                  1.6924690896769249E+001                  1.3313785954982478E+000                  5.0044809424882208E-001                  3.9895782619344082E+000                  8.9606486253394641E-004                  9.9900348229477698E-001                  6.6592699724374500E-006                  1.7170469723059361E-005                  4.5936376193926015E-005                  1.0257497931116922E-005                  2.0058323537797285E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9998543381786256E-004                  9.9897121969466074E-001                  0.0000000000000000E+000                  1.6957306848403451E-005                  4.9704878543267373E-006                  4.6148496780713394E-005                  1.0257497931116937E-005                  2.0058323537797312E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1363774635937106E-002                  3.4965092644476989E+001                  0.0000000000000000E+000                  6.3309505662141383E+000                  4.2367586811479603E+000                 -1.3975372815145114E+001                 -1.1402180662229863E+001                 -1.2991140730115038E+001                 -1.8627225476979991E+001                 -4.6194591434682401E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.5432475317241185E+001                  6.1902168978687503E-006                                        0                  0.0000000000000000E+000                  5.5967131587254360E-001                  5.1782062249987371E-001                  4.7260944465225596E-001                  3.4999982223180496E+001                  0.0000000000000000E+000                  7.0338733039464407E-001                  7.0338733039464407E-001                  5.5967131587254360E-001                  5.1782062249987371E-001                  4.7260944465225596E-001                  3.4999982223180496E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4286132962485757E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  3.6822943440064918E+001                  3.4999950275367240E+001                 -1.4284759438808908E-006                  7.3278677517464319E-001                                     1101                 -9.8999999999999986E+001                  2.9770374963791717E+001                                        1                  8.5058335024961262E-001                                        9                  8.5361064423765387E-001                                        2                  8.6374399359974652E-001                                        0                  9.9999999854000698E-001                                        2                  9.9999999859785205E-001                                        1                  9.9999999988270072E-001                                        9                  9.9999999992246524E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  5.3254503967302835E-001                                        9                  5.3491545354361603E-001                                        2                  5.4309490948165273E-001                                        0                  9.9178211255114013E-001                                        2                  9.9195582371781865E-001                                        1                  9.9825876559337667E-001                                        9                  9.9870304986132041E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3659715361277514E+034                  2.9739167146937958E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  2.2242565484309251E-002                                        4                  1.9592046743579583E-001                                        3                  3.7664551034053217E-001                                        2                  5.2942822392395739E-001                                        1                  6.5064840442444571E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.4999950275367240E+001                  5.1086255064720065E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2579133092283907E+000                 -1.3803114425756752E+001                 -1.1138109839567303E+001                  4.2579133092283907E+000                  3.1170630470514107E+000                  4.9015790745121715E+000                  5.9776181111287903E+000                  7.0830406740454921E-001                  4.5655269198400541E+000                  3.6772818638521392E+004                  7.8224401550425027E+000                  9.6430829064763235E-001                  1.6941320329451365E+001                  1.3313794277649926E+000                  5.0044789402546741E-001                  3.9895825483488818E+000                  8.9578803747236691E-004                  9.9900400687326796E-001                  5.9119934725123469E-006                  1.8052334292513880E-005                  4.5924899638255699E-005                  1.0257497931116922E-005                  2.0058323537797285E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9998543381786201E-004                  9.9897121969465819E-001                  0.0000000000000000E+000                  1.6957306848403420E-005                  4.9704878543267314E-006                  4.6148496780713347E-005                  1.0257497931116920E-005                  2.0058323537797282E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1354398855716059E-002                  3.4965080663553330E+001                  0.0000000000000000E+000                  2.4914227554243746E+000                  4.2504137081658646E+000                 -1.3803114425756752E+001                 -1.1337194248817628E+001                 -1.2808608205898063E+001                 -1.8480133185698964E+001                 -4.5614832228452684E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.8549303755818329E+001                  1.3182404451549438E-005                                        1                  0.0000000000000000E+000                  5.5654417324708461E-001                  5.1303601436033508E-001                  4.6864904684856867E-001                  3.4999950275367240E+001                  0.0000000000000000E+000                  7.0830406740454921E-001                  7.0830406740454921E-001                  5.5654417324708461E-001                  5.1303601436033508E-001                  4.6864904684856867E-001                  3.4999950275367240E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3878691917133208E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  8.5088169361403089E+001                  3.4999876984249212E+001                 -1.5590341734736570E-006                  1.1286930054127673E+000                                     1102                 -9.8999999999999986E+001                  2.9274080308725502E+001                                        1                  8.3640523427838176E-001                                        9                  8.4118549332803616E-001                                        2                  8.5045488707844985E-001                                        0                  9.9999999854000698E-001                                        2                  9.9999999862414957E-001                                        1                  9.9999999989029842E-001                                        9                  9.9999999993003275E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  5.0750397537795267E-001                                        9                  5.1094875589567801E-001                                        2                  5.1783932468813620E-001                                        0                  9.9085278191684489E-001                                        2                  9.9113902755407324E-001                                        1                  9.9820403126509771E-001                                        9                  9.9870611272258669E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3792882436917459E+034                  2.9790053010623882E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  2.4339154624593684E-002                                        4                  1.9592087770095468E-001                                        3                  3.7664629905103431E-001                                        2                  5.2942933256746683E-001                                        1                  6.5064976690777765E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.4999876984249212E+001                  5.1405444579532977E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2691701042074506E+000                 -1.3404991244805455E+001                 -1.1138109839567303E+001                  4.2691701042074515E+000                  3.0891037039332203E+000                  4.9071141533388261E+000                  6.0051685306138642E+000                  7.1100911949377721E-001                  4.5601159062328360E+000                  3.6317496741220813E+004                  7.8320250518858554E+000                  9.9331577839900587E-001                  1.6979771156257435E+001                  1.3313802868353086E+000                  5.0044772660195469E-001                  3.9895875975143529E+000                  8.9545320390962307E-004                  9.9900407737090191E-001                  4.3005634891342030E-006                  1.9961703375642291E-005                  4.5891336854426051E-005                  1.0257497931116922E-005                  2.0058323537797285E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9998543381786201E-004                  9.9897121969465819E-001                  0.0000000000000000E+000                  1.6957306848403424E-005                  4.9704878543267314E-006                  4.6148496780713360E-005                  1.0257497931116917E-005                  2.0058323537797285E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1344372474210618E-002                  3.4965009541582809E+001                  0.0000000000000000E+000                 -1.5885669111773084E+000                  4.2691695015818230E+000                 -1.3404991244805455E+001                 -1.1206878652100608E+001                 -1.2391085143753314E+001                 -1.8141486653503172E+001                 -4.4293787896411139E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.6989752154217307E+001                  5.8868458364173195E-006                                        1                  0.0000000000000000E+000                  5.4898643635195588E-001                  5.0425252485079952E-001                  4.5941203096046651E-001                  3.4999876984249212E+001                  0.0000000000000000E+000                  7.1100911949377721E-001                  7.1100911949377721E-001                  5.4898643635195588E-001                  5.0425252485079952E-001                  4.5941203096046651E-001                  3.4999876984249212E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3856143051255910E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
